Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
62,W0SHQ,,-,146.13000,,88.5,88.5,023,NN,FM,5,"Independence, IFD Fire Station #1 approx 1000 yds SSE of Truman",
63,N0ZS,,-,146.13000,,88.5,88.5,023,NN,FM,5,"Sunrise Beach",
64,WD0BBR,,-,146.14500,Tone,141.3,88.5,023,NN,FM,5,"Hamilton",
65,KB0TZG,,-,146.14500,,88.5,88.5,023,NN,FM,5,"Hermann",
66,N0NWS,,-,146.14500,Tone,136.5,88.5,023,NN,FM,5,"Macomb",
67,K0SI,,-,146.16000,Tone,127.3,88.5,023,NN,FM,5,"Columbia",
68,W9AIU,,-,146.16000,Tone,141.3,88.5,023,NN,FM,5,"St. Louis, KDNL ABC 30 TV Tower",
69,KD0RIS,,-,146.17500,Tone,100.0,88.5,023,NN,FM,5,"Crystal City, Buck Nob",
70,N0GK,,-,146.19000,,88.5,88.5,023,NN,FM,5,"Benton",
71,W0GS,,-,146.19000,Tone,88.5,88.5,023,NN,FM,5,"Dixon",
72,,,-,146.19000,Tone,107.2,88.5,023,NN,FM,5,"Kansas City",
73,N0PR,,-,146.20500,Tone,156.7,88.5,023,NN,FM,5,"Macon",
74,KC0FDQ,,-,146.20500,Tone,127.3,88.5,023,NN,FM,5,"Neosho",
75,KC0DBS,,-,146.20500,Tone,110.9,88.5,023,NN,FM,5,"Sullivan",
76,W0WZR,,-,146.20500,Tone,110.9,88.5,023,NN,FM,5,"Thayer",
77,K0HAM,,-,146.22000,Tone,151.4,88.5,023,NN,FM,5,"Kansas City, Top of KCMO City Hall",
78,K0EAR,,-,146.22000,Tone,162.2,88.5,023,NN,FM,5,"Republic",
79,W0QMF,,-,146.22000,Tone,100.0,88.5,023,NN,FM,5,"Scopus, KMHM Tower",
80,N0SYL,,-,146.23500,,88.5,88.5,023,NN,FM,5,"Paris",
81,AB0TL,,-,146.23500,Tone,100.0,88.5,023,NN,FM,5,"Potosi",
82,W0SRC,,-,146.25000,Tone,141.3,88.5,023,NN,FM,5,"Olivette, Lindbergh and Olive",
83,N0KBC,,-,146.25000,Tone,114.8,88.5,023,NN,FM,5,"Prescott",
84,W0NH,,-,146.25000,Tone,100.0,88.5,023,NN,FM,5,"Saint Joseph, KQ2 TV Tower",
85,KC0CZI,,-,146.26500,Tone,127.3,88.5,023,NN,FM,5,"Jefferson City",
86,K0NI,,-,146.26500,Tone,156.7,88.5,023,NN,FM,5,"Marshfield",
87,WB0YRG,,-,146.26500,Tone,151.4,88.5,023,NN,FM,5,"Raymore",
88,N0IBV,,-,146.26500,Tone,100.0,88.5,023,NN,FM,5,"Van Buren",
89,K0MGU,,-,146.28000,,88.5,88.5,023,NN,FM,5,"De Soto",
90,W0KEM,,-,146.28000,Tone,103.5,88.5,023,NN,FM,5,"Hannibal",
91,W0AU,,-,146.28000,Tone,107.2,88.5,023,NN,FM,5,"Warrensburg",
92,N0GYE,,-,146.29500,,88.5,88.5,023,NN,FM,5,"Brinktown",
93,W0YKE,,-,146.29500,Tone,162.2,88.5,023,NN,FM,5,"Hollister, KSMU Tower",
94,W0SRC,,-,146.31000,Tone,141.3,88.5,023,NN,FM,5,"Des Peres, West County Mall",
95,W0EBE,,-,146.31000,Tone,162.2,88.5,023,NN,FM,5,"Springfield, Hammons Tower",
96,K0AMC,,-,146.32500,Tone,192.8,88.5,023,NN,FM,5,"High Ridge",
97,KB0UFL,,-,146.32500,,88.5,88.5,023,NN,FM,5,"New Madrid",
98,KD0CNC,,-,146.32500,Tone,107.2,88.5,023,NN,FM,5,"Warsaw",
99,W0SRC,,-,146.34000,Tone,141.3,88.5,023,NN,FM,5,"Clayton",
100,W0HCA,,-,146.34000,Tone,110.9,88.5,023,NN,FM,5,"West Plains",
